"Date(UTC)","UnixTimeStamp","Value (Wei)"
"6/5/2021","1622851200","77417679778"
"6/6/2021","1622937600","68717148589"
"6/7/2021","1623024000","73032451140"
"6/8/2021","1623110400","73410385726"
"6/9/2021","1623196800","68822758505"
"6/10/2021","1623283200","74106618354"
"6/11/2021","1623369600","76114019887"
"6/12/2021","1623456000","111179396052"
"6/13/2021","1623542400","101431782799"
"6/14/2021","1623628800","83541214320"
"6/15/2021","1623715200","79459618661"
"6/16/2021","1623801600","83763932623"
"6/17/2021","1623888000","91701381761"
"6/18/2021","1623974400","93529752311"
"6/19/2021","1624060800","80561146481"
"6/20/2021","1624147200","79176717498"
"6/21/2021","1624233600","83241878325"
"6/22/2021","1624320000","104660155242"
"6/23/2021","1624406400","78175192570"
"6/24/2021","1624492800","68081176426"
"6/25/2021","1624579200","86482607470"
"6/26/2021","1624665600","89247563748"
"6/27/2021","1624752000","81206121647"
"6/28/2021","1624838400","72898682536"
"6/29/2021","1624924800","77047936379"
"6/30/2021","1625011200","69329409952"
"7/1/2021","1625097600","86698786870"
"7/2/2021","1625184000","71358385993"
"7/3/2021","1625270400","68164611405"
"7/4/2021","1625356800","88467710525"
"7/5/2021","1625443200","76263724150"
"7/6/2021","1625529600","92886211309"
"7/7/2021","1625616000","105783691228"
"7/8/2021","1625702400","90351078273"
"7/9/2021","1625788800","117650146172"
"7/10/2021","1625875200","78028900146"
"7/11/2021","1625961600","80193105975"
"7/12/2021","1626048000","85370928907"
"7/13/2021","1626134400","89725653638"
"7/14/2021","1626220800","89939018110"
"7/15/2021","1626307200","91491177303"
"7/16/2021","1626393600","98422443949"
"7/17/2021","1626480000","93645154442"
"7/18/2021","1626566400","97603234132"
"7/19/2021","1626652800","113884314398"
"7/20/2021","1626739200","133825457585"
"7/21/2021","1626825600","186294614225"
"7/22/2021","1626912000","108566356824"
"7/23/2021","1626998400","91488704448"
"7/24/2021","1627084800","90549154298"
"7/25/2021","1627171200","112435713618"
"7/26/2021","1627257600","162851261097"
"7/27/2021","1627344000","227747225495"
"7/28/2021","1627430400","176277933650"
"7/29/2021","1627516800","174537212788"
"7/30/2021","1627603200","129249746251"
"7/31/2021","1627689600","99630875573"
"8/1/2021","1627776000","89734346021"
"8/2/2021","1627862400","86506048769"
"8/3/2021","1627948800","108475782529"
"8/4/2021","1628035200","99861319419"
"8/5/2021","1628121600","107760640712"
"8/6/2021","1628208000","96464709608"
